CODIGO_COMPANIA;CODIGO_RAMO_EMISION;NOMBRE_RAMO_EMISION;CODIGO_RAMO_CONTABLE;NOMBRE_RAMO_CONTABLE;CODIGO_RAMO_SCF;CONCATENAR CODRAMO_CODPROD_RAMO;CODIGO_PRODUCTO;AGRUP SISTEMA PLANEACIÓN;LN PLANEACIÓN;NOMBRE_PRODUCTO;Vigente;Comercializa;Cobertura genera Prima;Linea_negocio;CODIGO_COBERTURA;NOMBRE_COBERTURA;CLASIFICACIÓN COBERTURA VRT NIVEL 1;CLASIFICACIÓN COBERTURA VRT NIVEL 2;Nombre Productos Planeación;Cálculo RPND-SOP;RSA en maestro;IBNR;Reserva Enfermedad Profesional;Desviación de siniestralidad;Matemática;Insuficiencia activos
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;74;AHMCC/AMIT MUEBL MAQ OF;CAT-Antrop;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;79;MAREMOTO MUEBL MAQ OFIC;CAT- Nat;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;81;REMOCION DE ESCOMBROS;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;25;EXTENDED COVERAGE;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;26;DANOS POR AGUA, ANEGACI;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;27;MATERIALES EN FUSION;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;53;MAREMOTO MCIAS FIJAS;CAT- Nat;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;57;MAQUINARIAS;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;37;PROPIEDAD PERSONAL EMPL;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;39;EXPLOSION MCIAS FIJAS;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;41;RENTA;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;48;EXPLOSION MCIAS FLOTANT;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;51;EXTENDED COVERAGE M FLO;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;62;AHMCC/AMIT MAQUINARIAS;CAT-Antrop;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;67;MAREMOTO MAQUINARIAS;CAT- Nat;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;70;MUEBLES Y MAQUINAS OFIC;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;82;GASTOS ADICIONALES;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;83;INCENDIO O RAYO;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;193;EXPLOSION DINEROS;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;196;EXTENDED COVERAGE DINER;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;9;INCENDIO MCIAS FIJAS;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;4;INCENDIO MUEBL MAQ OF;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;24;AHMCC/AMIT EDIFICIO;CAT-Antrop;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;47;COMBUSTION ESP MCIAS FI;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;55;COMBUSTION ESP MCIAS FL;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;60;DANOS A CALDERAS;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;87;HONORARIOS PROF. INCEND;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;192;INCENDIO DINEROS;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;2;INCENDIO MCIAS FLOTANTE;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;19;MERCANCIAS FIJAS;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;42;AHMCC/AMIT MCIAS FIJAS;CAT-Antrop;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;45;DANOS POR AGUA/ANEG MFI;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;52;DANOS POR AGUA/ANEG MFL;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;54;MEJORAS LOCATIVAS;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;59;EXPLOSION MAQUINARIAS;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;63;EXTENDED COVERAGE MAQUI;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;72;EXPLOSION MUEBL MAQ OF;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;75;EXTENDED COVERAGE MUEBL;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;85;GASTOS DE PRESERVACION;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;195;AHMCC/AMIT DINEROS;CAT-Antrop;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;No;Empresas;20;EDIFICIO;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;56;FRIGORIFICOS;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;64;DANOS POR AGUA/ANEGACIO;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;69;MAREMOTO MCIAS FLOTANTE;CAT- Nat;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;76;DANOS POR AGUA/ANEGACIO;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;86;GASTOS EXTINCION DE SIN;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;197;DANOS POR AGUA DINEROS;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;43;EXTENDED COV MCIAS FIJ;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;50;AHMCC/AMIT MCIAS FLOTAN;CAT-Antrop;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;6;LUCRO CESANTE;14;6_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;106;DISTRIBUIDORES,PROVEEDO;N/A;NA;Incendio Tradicional;1;1;Sin Esperada Lucro;NA;NA;NA;NA
3;5;INCENDIO;6;LUCRO CESANTE;14;6_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;108;INCEND.Y/O RAYO LUCRO;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Incendio Tradicional;1;1;Sin Esperada Lucro;NA;NA;NA;NA
3;5;INCENDIO;6;LUCRO CESANTE;14;6_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;95;GASTOS DE VIAJE Y ESTAD;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Incendio Tradicional;1;1;Sin Esperada Lucro;NA;NA;NA;NA
3;5;INCENDIO;6;LUCRO CESANTE;14;6_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;89;LUCRO POR AHMCC/AMIT;CAT-Antrop;NA;Incendio Tradicional;1;1;Sin Esperada Lucro;NA;NA;NA;NA
3;5;INCENDIO;6;LUCRO CESANTE;14;6_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;88;LUCRO POR INCENDIO;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Incendio Tradicional;1;1;Sin Esperada Lucro;NA;NA;NA;NA
3;5;INCENDIO;6;LUCRO CESANTE;14;6_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;36;HONORARIOS PROF. LUCRO;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Incendio Tradicional;1;1;Sin Esperada Lucro;NA;NA;NA;NA
3;5;INCENDIO;13;TERREMOTO;8;13_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;23;TERREMOTO EDIFICIO;CAT- Nat;Terremoto;Incendio Tradicional;1;1;Terremoto;NA;NA;NA;NA
3;5;INCENDIO;13;TERREMOTO;8;13_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;40;TERREMOTO MCIAS FIJAS;CAT- Nat;Terremoto;Incendio Tradicional;1;1;Terremoto;NA;NA;NA;NA
3;5;INCENDIO;13;TERREMOTO;8;13_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;73;TERREMOTO MUEBL MAQ OF;CAT- Nat;Terremoto;Incendio Tradicional;1;1;Terremoto;NA;NA;NA;NA
3;5;INCENDIO;13;TERREMOTO;8;13_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;49;TERREMOTO MCIAS FLOTANT;CAT- Nat;Terremoto;Incendio Tradicional;1;1;Terremoto;NA;NA;NA;NA
3;5;INCENDIO;13;TERREMOTO;8;13_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;194;TERREMOTO DINEROS;CAT- Nat;Terremoto;Incendio Tradicional;1;1;Terremoto;NA;NA;NA;NA
3;5;INCENDIO;13;TERREMOTO;8;13_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;61;TERREMOTO MAQUINARIAS;CAT- Nat;Terremoto;Incendio Tradicional;1;1;Terremoto;NA;NA;NA;NA
3;5;INCENDIO;13;TERREMOTO;8;13_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;101;LUCRO POR TERREMOTO;CAT- Nat;Terremoto;Incendio Tradicional;1;1;Terremoto;NA;NA;NA;NA
3;1;AUTOMOVILES;1;AUTOMOVILES;3;1_3;3;Individual_Colectivo;Movilidad;CERTIFICADO DE DECLARACION MENSUAL AUTOMOVILES;no;no;Si;Movilidad;213;ASISTENCIA JURIDICA;Servicios Asistenciales;NA;Certificado De Declaracion Mensual Automoviles;0;1;Grupo Autos;NA;NA;NA;NA
3;1;AUTOMOVILES;1;AUTOMOVILES;3;1_3;3;Individual_Colectivo;Movilidad;CERTIFICADO DE DECLARACION MENSUAL AUTOMOVILES;no;no;Si;Movilidad;372;DANOS PARCIALES;Daño a bienes;NA;Certificado De Declaracion Mensual Automoviles;0;1;Grupo Autos;NA;NA;NA;NA
3;1;AUTOMOVILES;1;AUTOMOVILES;3;1_3;3;Individual_Colectivo;Movilidad;CERTIFICADO DE DECLARACION MENSUAL AUTOMOVILES;no;no;Si;Movilidad;204;PERDIDA PARCIAL POR DANOS;Daño a bienes;NA;Certificado De Declaracion Mensual Automoviles;0;1;Grupo Autos;NA;NA;NA;NA
3;1;AUTOMOVILES;1;AUTOMOVILES;3;1_3;3;Individual_Colectivo;Movilidad;CERTIFICADO DE DECLARACION MENSUAL AUTOMOVILES;no;no;Si;Movilidad;370;RIESGOS PATRIMONIALES;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Certificado De Declaracion Mensual Automoviles;0;1;Grupo Autos;NA;NA;NA;NA
3;1;AUTOMOVILES;1;AUTOMOVILES;3;1_3;3;Individual_Colectivo;Movilidad;CERTIFICADO DE DECLARACION MENSUAL AUTOMOVILES;no;no;Si;Movilidad;374;HURTO;Hurto y otros delitos;NA;Certificado De Declaracion Mensual Automoviles;0;1;Grupo Autos;NA;NA;NA;NA
3;1;AUTOMOVILES;1;AUTOMOVILES;3;1_3;3;Individual_Colectivo;Movilidad;CERTIFICADO DE DECLARACION MENSUAL AUTOMOVILES;no;no;Si;Movilidad;206;RESPONSABILIDAD CIVIL;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Certificado De Declaracion Mensual Automoviles;0;1;Grupo Autos;NA;NA;NA;NA
3;1;AUTOMOVILES;1;AUTOMOVILES;3;1_3;3;Individual_Colectivo;Movilidad;CERTIFICADO DE DECLARACION MENSUAL AUTOMOVILES;no;no;Si;Movilidad;202;PERDIDA TOTAL POR DAGNOS;Daño a bienes;NA;Certificado De Declaracion Mensual Automoviles;0;1;Grupo Autos;NA;NA;NA;NA
3;1;AUTOMOVILES;1;AUTOMOVILES;3;1_3;3;Individual_Colectivo;Movilidad;CERTIFICADO DE DECLARACION MENSUAL AUTOMOVILES;no;no;Si;Movilidad;203;PERDIDA TOTAL POR HURTO;Hurto y otros delitos;NA;Certificado De Declaracion Mensual Automoviles;0;1;Grupo Autos;NA;NA;NA;NA
3;1;AUTOMOVILES;1;AUTOMOVILES;3;1_3;3;Individual_Colectivo;Movilidad;CERTIFICADO DE DECLARACION MENSUAL AUTOMOVILES;no;no;Si;Movilidad;212;GTOS TRANS PDA TOT DANOS;Daño a bienes;NA;Certificado De Declaracion Mensual Automoviles;0;1;Grupo Autos;NA;NA;NA;NA
3;1;AUTOMOVILES;1;AUTOMOVILES;3;1_3;3;Individual_Colectivo;Movilidad;CERTIFICADO DE DECLARACION MENSUAL AUTOMOVILES;no;no;Si;Movilidad;371;DANO TOTAL;Daño a bienes;NA;Certificado De Declaracion Mensual Automoviles;0;1;Grupo Autos;NA;NA;NA;NA
3;1;AUTOMOVILES;1;AUTOMOVILES;3;1_3;3;Individual_Colectivo;Movilidad;CERTIFICADO DE DECLARACION MENSUAL AUTOMOVILES;no;no;Si;Movilidad;373;TERREMOTO;CAT- Nat;NA;Certificado De Declaracion Mensual Automoviles;0;1;Grupo Autos;NA;NA;NA;NA
3;8;ROTURA DE MAQUINARIA;8;ROTURA DE MAQUINARIA;15;8_8;8;Otros;Empresas;ROTURA DE MAQUINARIA;si;si;Si;Empresas;180;GASTOS EXTRAS;Daño a bienes;NA;Rotura De Maquinaria;1;1;Grupo Maquinaria;NA;NA;NA;NA
3;8;ROTURA DE MAQUINARIA;8;ROTURA DE MAQUINARIA;15;8_8;8;Otros;Empresas;ROTURA DE MAQUINARIA;si;si;Si;Empresas;185;BIENES REFRIGERADOS;Daño a bienes;NA;Rotura De Maquinaria;1;1;Grupo Maquinaria;NA;NA;NA;NA
3;8;ROTURA DE MAQUINARIA;8;ROTURA DE MAQUINARIA;15;8_8;8;Otros;Empresas;ROTURA DE MAQUINARIA;si;si;Si;Empresas;188;LUCRO CESANTE;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Rotura De Maquinaria;1;1;Grupo Maquinaria;NA;NA;NA;NA
3;8;ROTURA DE MAQUINARIA;8;ROTURA DE MAQUINARIA;15;8_8;8;Otros;Empresas;ROTURA DE MAQUINARIA;si;si;Si;Empresas;176;AMPARO BASICO;Daño a bienes;NA;Rotura De Maquinaria;1;1;Grupo Maquinaria;NA;NA;NA;NA
3;8;ROTURA DE MAQUINARIA;8;ROTURA DE MAQUINARIA;15;8_8;8;Otros;Empresas;ROTURA DE MAQUINARIA;si;si;Si;Empresas;179;CAIDA DE RAYO;Daño a bienes;NA;Rotura De Maquinaria;1;1;Grupo Maquinaria;NA;NA;NA;NA
3;8;ROTURA DE MAQUINARIA;8;ROTURA DE MAQUINARIA;15;8_8;8;Otros;Empresas;ROTURA DE MAQUINARIA;si;si;Si;Empresas;184;PROPIEDADES ADYACENTES;Daño a bienes;NA;Rotura De Maquinaria;1;1;Grupo Maquinaria;NA;NA;NA;NA
3;8;ROTURA DE MAQUINARIA;8;ROTURA DE MAQUINARIA;15;8_8;8;Otros;Empresas;ROTURA DE MAQUINARIA;si;si;Si;Empresas;182;DERRAME DE TANQUE;Daño a bienes;NA;Rotura De Maquinaria;1;1;Grupo Maquinaria;NA;NA;NA;NA
3;8;ROTURA DE MAQUINARIA;8;ROTURA DE MAQUINARIA;15;8_8;8;Otros;Empresas;ROTURA DE MAQUINARIA;si;si;Si;Empresas;190;INCENDIO INTERNO Y/O;Daño a bienes;NA;Rotura De Maquinaria;1;1;Grupo Maquinaria;NA;NA;NA;NA
3;8;ROTURA DE MAQUINARIA;8;ROTURA DE MAQUINARIA;15;8_8;8;Otros;Empresas;ROTURA DE MAQUINARIA;si;si;Si;Empresas;181;GASTOS POR FLETE AEREO;Daño a bienes;NA;Rotura De Maquinaria;1;1;Grupo Maquinaria;NA;NA;NA;NA
3;8;ROTURA DE MAQUINARIA;8;ROTURA DE MAQUINARIA;15;8_8;8;Otros;Empresas;ROTURA DE MAQUINARIA;si;si;Si;Empresas;178;COBERTURAS ADICIONALES;Daño a bienes;NA;Rotura De Maquinaria;1;1;Grupo Maquinaria;NA;NA;NA;NA
3;8;ROTURA DE MAQUINARIA;8;ROTURA DE MAQUINARIA;15;8_8;8;Otros;Empresas;ROTURA DE MAQUINARIA;si;si;Si;Empresas;183;CASCOS;Daño a bienes;NA;Rotura De Maquinaria;1;1;Grupo Maquinaria;NA;NA;NA;NA
3;8;ROTURA DE MAQUINARIA;8;ROTURA DE MAQUINARIA;15;8_8;8;Otros;Empresas;ROTURA DE MAQUINARIA;si;si;Si;Empresas;189;EXPLOSION QUIMICA INT.;Daño a bienes;NA;Rotura De Maquinaria;1;1;Grupo Maquinaria;NA;NA;NA;NA
